,clockTime,sprite,x,y,direction,touching,block,keysDown,variables,stageVariables
0,0.006,Ball,-83.46008218776912,-143.57170269873072,-120.99999999999997,[],event_whenflagclicked,[],{},{}
1,0.006,Ball,20.0,150.0,-120.99999999999997,[],motion_gotoxy{math_number(NUM:20)math_number(NUM:150)},[],{},{}
2,0.008,Ball,20.0,150.0,137.0,[],motion_pointindirection{operator_random{FROMTO}},[],{},{}
3,0.009,Ball,30.2299754,139.02969448,137.0,[],motion_movesteps{math_number(NUM:15)},[],{},{}
4,0.049,Ball,40.4599508,128.05938896,137.0,[],motion_movesteps{math_number(NUM:15)},[],{},{}
5,0.083,Ball,50.6899262,117.08908344,137.0,[],motion_movesteps{math_number(NUM:15)},[],{},{}
6,0.115,Ball,60.9199016,106.11877792,137.0,[],motion_movesteps{math_number(NUM:15)},[],{},{}
7,0.148,Ball,71.149877,95.1484724,137.0,[],motion_movesteps{math_number(NUM:15)},[],{},{}
8,0.182,Ball,81.3798524,84.17816688,137.0,[],motion_movesteps{math_number(NUM:15)},[],{},{}
9,0.215,Ball,91.6098278,73.20786136,137.0,[],motion_movesteps{math_number(NUM:15)},[],{},{}
10,0.248,Ball,101.8398032,62.23755584,137.0,[],motion_movesteps{math_number(NUM:15)},[],{},{}
11,0.281,Ball,112.0697786,51.26725032,137.0,[],motion_movesteps{math_number(NUM:15)},[],{},{}
12,0.314,Ball,122.299754,40.2969448,137.0,[],motion_movesteps{math_number(NUM:15)},[],{},{}
13,0.347,Ball,132.5297294,29.32663928,137.0,[],motion_movesteps{math_number(NUM:15)},[],{},{}
14,0.38,Ball,142.7597048,18.35633376,137.0,[],motion_movesteps{math_number(NUM:15)},[],{},{}
15,0.418,Ball,152.9896802,7.38602824,137.0,[],motion_movesteps{math_number(NUM:15)},[],{},{}
16,0.454,Ball,163.2196556,-3.58427728,137.0,[],motion_movesteps{math_number(NUM:15)},[],{},{}
17,0.49,Ball,173.449631,-14.5545828,137.0,[],motion_movesteps{math_number(NUM:15)},[],{},{}
18,0.562,Ball,183.6796064,-25.52488832,137.0,[],motion_movesteps{math_number(NUM:15)},[],{},{}
19,0.596,Ball,193.9095818,-36.49519384,137.0,[],motion_movesteps{math_number(NUM:15)},[],{},{}
20,0.628,Ball,204.1395572,-47.46549936,137.0,[],motion_movesteps{math_number(NUM:15)},[],{},{}
21,0.663,Ball,214.3695326,-58.43580488,137.0,[],motion_movesteps{math_number(NUM:15)},['Right'],{},{}
22,0.665,Ball,213.3695326,-58.43580488,-137.0,[],motion_ifonedgebounce,['Right'],{},{}
23,0.694,Ball,203.1395572,-69.4061104,-137.0,[],motion_movesteps{math_number(NUM:15)},['Right'],{},{}
24,0.728,Ball,192.9095818,-80.37641592,-137.0,[],motion_movesteps{math_number(NUM:15)},['Right'],{},{}
25,0.761,Ball,182.6796064,-91.34672144,-137.0,[],motion_movesteps{math_number(NUM:15)},['Right'],{},{}
26,0.794,Ball,172.449631,-102.31702696,-137.0,[],motion_movesteps{math_number(NUM:15)},['Right'],{},{}
27,0.828,Ball,162.2196556,-113.28733248,-137.0,[],motion_movesteps{math_number(NUM:15)},['Right'],{},{}
28,0.861,Ball,151.9896802,-124.257638,-137.0,[],motion_movesteps{math_number(NUM:15)},[],{},{}
29,0.894,Ball,141.7597048,-135.22794352,-137.0,[],motion_movesteps{math_number(NUM:15)},[],{},{}
30,0.927,Ball,131.5297294,-146.19824904,-137.0,[],motion_movesteps{math_number(NUM:15)},[],{},{}
31,0.96,Ball,121.299754,-157.16855456,-137.0,[],motion_movesteps{math_number(NUM:15)},[],{},{}
32,0.961,Ball,121.299754,-153.16855456,-43.00000000000003,[],motion_ifonedgebounce,[],{},{}
33,0.994,Ball,111.0697786,-142.19824904,-43.00000000000003,[],motion_movesteps{math_number(NUM:15)},[],{},{}
34,1.026,Ball,100.8398032,-131.22794352,-43.00000000000003,[],motion_movesteps{math_number(NUM:15)},['Left'],{},{}
